cardid,ارزش,پرداخت,جنسیت,مالکیت منزل,درآمد,سن,گوشت,مرغ,پیتزا,همبرگر,چیپس,کنسرو,نوشابه,دلستر,آب معدنی,ماهی,کباب
44294,38.531400,"CASH","M","NO",16300,18,"F","F","T","T","F","T","T","F","F","F","F"
95604,23.505800,"CHEQUE","M","NO",11600,44,"F","F","F","T","T","T","T","T","F","T","F"
103596,27.425200,"CARD","F","NO",12300,26,"F","F","F","F","T","F","F","F","T","F","F"
103473,25.033800,"CHEQUE","F","YES",12100,26,"F","F","F","F","T","T","F","F","F","F","F"
94467,18.958900,"CASH","M","YES",16600,49,"F","F","F","T","F","T","T","F","T","T","F"
38097,37.138500,"CASH","M","NO",11700,19,"T","F","F","T","T","T","T","T","F","T","F"
49632,10.771700,"CARD","M","NO",21700,21,"F","F","F","T","T","F","F","F","F","T","T"
82558,10.107400,"CARD","F","YES",27500,22,"F","T","F","F","F","F","T","T","T","F","F"
50324,20.100400,"CASH","M","YES",28900,16,"F","T","F","F","F","F","F","F","T","T","F"
38468,42.790800,"CARD","F","YES",18300,23,"F","F","F","F","F","F","F","F","F","F","F"
38055,14.449700,"CARD","F","YES",22600,25,"T","F","F","F","F","F","F","F","F","F","F"
74876,18.293700,"CASH","M","YES",17100,45,"F","F","T","F","F","F","T","F","F","F","T"
18079,24.816000,"CARD","M","YES",19800,32,"F","F","T","F","F","F","F","T","F","F","F"
16316,39.170100,"CHEQUE","M","NO",23300,22,"T","F","T","F","F","T","F","F","F","T","F"
37166,16.483500,"CARD","F","NO",21600,23,"T","F","F","F","F","F","T","F","F","T","F"
18334,42.434300,"CASH","F","NO",25900,43,"F","F","F","F","F","T","F","T","F","F","T"
102645,13.421800,"CARD","F","YES",17200,23,"F","F","F","T","T","F","F","F","F","F","F"
101100,18.959100,"CARD","M","YES",16600,42,"F","F","F","T","F","T","T","T","F","F","F"
64861,18.771100,"CASH","M","YES",27200,49,"F","F","T","F","F","T","T","F","F","F","T"
19041,14.682300,"CARD","F","NO",21100,23,"T","T","F","T","F","F","F","F","F","T","F"
85771,10.045500,"CARD","F","NO",15700,36,"F","F","F","F","T","F","F","T","F","F","T"
79303,39.649700,"CASH","M","NO",17000,19,"T","F","T","F","F","F","F","F","F","T","F"
92675,44.515300,"CHEQUE","F","NO",18100,47,"F","T","F","F","F","F","F","F","F","F","F"
71690,13.636100,"CASH","F","NO",29300,18,"T","F","F","F","F","F","T","F","T","T","F"
86350,12.184000,"CARD","F","NO",18200,49,"F","F","F","F","F","T","F","F","T","F","F"
88260,29.778500,"CARD","F","NO",12000,34,"F","F","T","T","F","F","F","F","F","F","F"
86759,48.456600,"CARD","F","NO",14800,34,"F","F","F","T","F","F","F","F","F","F","F"
49861,38.849100,"CASH","M","YES",20300,32,"F","F","F","F","F","F","T","F","F","F","F"
21543,13.917600,"CHEQUE","F","NO",28900,27,"F","F","F","T","F","T","F","T","T","F","F"
70481,31.700100,"CHEQUE","M","YES",29800,30,"F","F","F","T","F","F","T","F","T","T","F"
29944,42.898500,"CASH","M","NO",29800,18,"T","F","F","F","F","T","T","F","T","T","F"
46054,14.281400,"CARD","M","NO",15000,46,"F","T","F","T","T","T","T","F","T","F","T"
61329,26.928200,"CARD","F","YES",17200,49,"T","F","F","F","F","F","F","F","F","F","F"
24566,39.448900,"CARD","F","YES",24300,34,"F","F","F","T","T","F","F","T","F","T","T"
58768,18.079800,"CHEQUE","F","YES",10800,16,"F","F","F","F","F","F","F","T","T","F","F"
71343,48.275100,"CASH","M","YES",13700,38,"F","F","F","T","F","T","T","F","F","F","F"
55418,20.881200,"CARD","F","YES",16800,23,"T","F","F","F","F","F","F","F","F","F","F"
18228,31.727500,"CASH","M","NO",17700,41,"F","F","F","T","F","F","F","F","F","F","F"
37305,33.960700,"CARD","M","NO",18200,49,"F","F","F","F","F","F","F","F","F","F","F"
30243,30.391600,"CASH","M","YES",11500,33,"F","T","F","T","T","T","T","T","F","F","T"
59599,27.488100,"CASH","F","YES",18700,28,"F","F","F","F","T","T","T","F","F","F","F"
61869,31.801100,"CASH","M","NO",12100,46,"T","F","F","T","F","T","T","T","F","F","F"
10360,27.401200,"CHEQUE","M","NO",13400,20,"F","F","F","T","F","T","T","F","F","T","F"
83338,26.206100,"CASH","M","NO",18500,41,"F","F","F","F","T","F","F","F","F","F","F"
39080,18.387800,"CARD","F","YES",21000,36,"F","F","F","T","F","F","F","F","F","T","F"
84799,31.319200,"CARD","M","YES",17600,21,"F","T","F","F","T","F","F","F","F","F","F"
51979,20.528500,"CARD","M","YES",11100,16,"F","F","F","T","T","T","T","F","F","F","T"
40505,43.039400,"CARD","F","NO",25400,50,"F","T","T","F","F","F","F","T","F","F","T"
37098,26.637800,"CARD","F","YES",14100,37,"T","T","F","F","F","F","F","F","T","F","F"
29524,10.712700,"CASH","F","YES",25100,37,"F","F","F","T","F","F","F","F","F","F","F"
63452,17.891600,"CASH","M","NO",12000,48,"F","F","F","T","T","T","T","F","F","F","F"
20158,23.744100,"CHEQUE","M","YES",29000,43,"F","F","F","F","T","F","F","F","F","T","F"
70182,11.300500,"CARD","F","YES",12200,18,"F","F","F","T","F","T","F","F","F","F","F"
56034,41.271100,"CASH","M","NO",14100,16,"T","T","F","T","F","T","T","F","F","T","F"
44235,27.726800,"CASH","F","YES",23200,41,"F","F","T","F","F","F","T","T","F","F","T"
96881,14.611200,"CARD","M","YES",11900,39,"F","F","F","T","T","T","T","T","F","F","F"
27166,13.451300,"CASH","F","YES",25100,44,"F","F","F","F","F","F","F","F","F","F","F"
39884,31.273700,"CASH","M","NO",29700,21,"F","F","F","F","F","F","F","T","F","F","F"
95141,45.342700,"CARD","F","YES",20900,37,"T","F","F","F","F","F","F","T","F","F","T"
28110,27.697400,"CARD","M","YES",12100,21,"F","F","F","F","F","T","F","F","F","F","F"
85259,40.930300,"CARD","F","YES",11000,22,"T","F","F","F","F","T","T","F","F","F","F"
14996,22.259100,"CASH","M","YES",26100,17,"F","T","T","T","F","T","F","F","F","T","T"
55652,41.716600,"CARD","M","NO",14100,20,"T","F","F","T","F","T","T","F","F","T","F"
43964,29.458500,"CASH","F","NO",18500,24,"T","F","F","T","F","F","F","T","F","F","F"
51183,22.315700,"CASH","F","NO",23100,25,"F","F","F","F","F","F","F","F","F","F","F"
29310,49.845900,"CASH","M","YES",28900,22,"F","F","F","F","F","F","F","T","T","F","F"
21187,20.574400,"CHEQUE","F","YES",15400,36,"F","T","F","F","F","F","T","F","F","F","F"
83536,31.936800,"CASH","F","NO",11600,22,"F","F","F","F","F","F","T","F","T","T","F"
95887,43.196400,"CASH","M","NO",12500,27,"F","F","F","T","T","T","T","F","T","F","F"
88176,34.536600,"CARD","F","YES",28300,31,"F","F","T","F","F","T","F","T","T","F","T"
65418,38.601700,"CASH","F","YES",24600,48,"F","F","F","F","F","F","F","T","F","F","T"
27766,40.077300,"CARD","F","NO",18900,34,"T","F","F","F","F","F","T","F","F","F","F"
66191,37.523300,"CASH","F","NO",22600,35,"T","F","T","F","F","T","T","F","F","F","F"
108764,44.629400,"CASH","M","YES",10200,27,"F","F","F","T","F","T","T","T","F","T","F"
12782,31.329600,"CHEQUE","F","NO",20300,31,"F","F","F","T","F","F","T","F","F","F","F"
75118,31.777400,"CHEQUE","F","YES",22200,49,"F","F","F","F","T","F","F","F","F","F","F"
58188,36.063100,"CARD","M","NO",29900,19,"T","F","F","F","T","F","F","F","F","T","F"
95479,45.741700,"CHEQUE","M","NO",22700,32,"F","F","F","T","T","F","F","T","F","F","T"
59439,20.778400,"CASH","M","YES",22000,24,"T","F","F","F","F","F","T","F","F","F","F"
104903,34.443700,"CASH","F","NO",28200,30,"T","F","F","F","F","F","F","T","F","F","T"
44825,36.944800,"CARD","F","NO",12600,50,"F","T","F","F","F","F","F","F","F","T","T"
71887,30.067000,"CASH","M","NO",14700,46,"F","T","F","T","F","T","T","T","F","T","T"
18708,30.786800,"CASH","F","YES",25900,35,"F","F","F","T","T","T","T","F","F","T","F"
74423,22.317700,"CASH","F","YES",20000,18,"F","F","F","F","F","F","T","F","F","F","F"
97967,11.514400,"CASH","F","NO",27600,48,"F","F","F","F","F","F","F","F","T","T","F"
20386,39.829600,"CHEQUE","F","YES",15400,32,"F","F","T","F","F","F","F","F","F","F","F"
77218,38.271700,"CARD","M","NO",16500,34,"T","F","F","T","F","T","T","T","F","T","F"
80137,12.847000,"CASH","F","NO",22200,33,"F","F","F","F","F","F","F","F","F","F","F"
84092,34.849700,"CARD","F","NO",22000,48,"T","F","T","F","F","T","F","T","T","T","T"
58914,28.916300,"CARD","F","YES",25500,50,"F","F","F","F","F","T","F","F","F","F","F"
16287,42.553400,"CASH","F","NO",25800,16,"T","F","F","F","F","F","F","T","T","F","T"
86044,30.543400,"CARD","M","NO",13900,30,"F","F","F","T","F","T","T","T","T","F","F"
36927,20.181200,"CHEQUE","M","NO",11100,35,"F","F","F","T","F","T","T","F","F","F","T"
93304,42.456700,"CARD","M","NO",28200,34,"F","F","F","F","F","T","F","F","F","F","T"
66988,17.959100,"CARD","M","YES",12300,43,"F","F","F","T","F","T","T","F","F","T","F"
55091,40.227400,"CASH","M","NO",24400,19,"F","F","F","F","T","F","T","F","F","F","F"
64215,17.099300,"CASH","M","NO",15300,42,"T","F","F","T","T","T","T","F","F","F","F"
28629,44.810700,"CASH","M","NO",26200,31,"F","F","F","F","F","F","T","F","F","F","T"
98383,33.864200,"CASH","M","NO",24500,32,"F","F","F","T","T","T","F","F","F","F","T"
107505,21.363300,"CASH","F","YES",25000,32,"F","F","F","F","F","F","F","F","F","F","T"
99578,15.768100,"CARD","M","NO",24300,27,"F","F","F","F","T","F","F","F","T","F","T"
28979,35.849400,"CHEQUE","F","YES",20100,21,"F","F","F","T","F","F","F","T","F","F","T"
102733,28.515400,"CASH","F","NO",17200,24,"T","F","F","F","F","F","F","F","F","T","T"
81690,37.361700,"CARD","F","NO",23900,36,"F","F","F","F","F","F","F","T","F","F","T"
25405,36.416600,"CARD","M","NO",27600,36,"F","F","F","F","T","F","F","F","F","T","F"
85348,40.267700,"CHEQUE","F","YES",12400,24,"F","F","F","F","T","F","F","F","F","F","F"
19915,40.086800,"CASH","F","NO",15700,21,"T","F","F","F","T","F","F","F","F","T","F"
99387,10.618400,"CASH","F","NO",16500,49,"F","T","F","F","T","F","F","F","F","F","T"
32380,11.122400,"CARD","F","YES",18900,20,"T","F","F","T","F","F","F","T","F","F","F"
39914,36.728500,"CARD","F","YES",13700,26,"T","F","T","F","F","F","F","F","F","F","F"
57952,35.148700,"CHEQUE","F","NO",26900,48,"F","F","F","T","F","F","F","T","F","F","T"
64239,27.508300,"CARD","M","YES",15800,22,"F","F","F","T","F","T","T","T","T","F","F"
38014,23.331000,"CHEQUE","F","NO",16000,42,"F","T","F","T","T","T","F","F","T","F","F"
21875,10.726700,"CASH","F","NO",25000,17,"T","F","F","F","F","F","F","T","F","T","F"
37939,49.731600,"CARD","M","YES",28300,18,"T","T","F","F","T","F","F","F","T","F","F"
109061,37.348500,"CASH","F","NO",27800,50,"F","T","F","F","F","F","F","T","F","F","T"
100754,11.329400,"CHEQUE","F","NO",17100,16,"T","F","F","T","F","T","F","F","F","T","F"
28313,34.888900,"CASH","F","NO",27700,48,"T","F","F","F","F","F","F","T","F","F","T"
82753,37.576200,"CHEQUE","F","YES",23200,42,"T","T","T","F","F","F","F","T","F","F","T"
105412,18.309900,"CASH","M","NO",18500,29,"F","F","F","F","F","F","T","F","F","F","F"
42583,35.675700,"CASH","F","YES",13300,24,"F","F","F","F","F","F","F","F","F","F","F"
89233,37.683800,"CARD","F","YES",28400,17,"F","T","F","F","F","F","F","F","F","F","F"
76777,43.748000,"CARD","F","NO",26900,28,"F","F","F","F","F","F","F","T","F","F","T"
16220,34.787200,"CHEQUE","M","NO",15300,33,"F","F","F","T","F","T","T","F","T","F","T"
17864,35.656200,"CHEQUE","F","NO",28900,18,"T","F","T","F","F","F","F","T","F","T","T"
87270,31.486800,"CHEQUE","M","NO",21300,29,"F","F","T","T","T","F","F","T","F","F","F"
34593,35.823100,"CARD","M","YES",26800,50,"F","F","T","F","T","T","F","T","F","F","F"
67697,12.947700,"CARD","M","NO",18200,44,"F","F","T","F","F","T","F","F","F","F","F"
32302,33.830300,"CARD","F","YES",12500,37,"F","F","F","F","F","F","F","F","F","F","F"
15663,45.190100,"CARD","F","YES",19700,45,"F","F","F","F","F","F","T","F","F","F","F"
108601,14.121600,"CASH","M","NO",17100,49,"F","F","F","F","F","F","F","T","F","T","F"
55951,15.679300,"CARD","M","NO",23600,39,"F","F","F","F","F","F","F","T","F","F","T"
39817,13.200500,"CASH","F","YES",17500,49,"F","F","F","F","F","F","T","F","F","F","F"
19613,46.150700,"CARD","F","YES",11000,45,"F","F","F","F","T","F","F","F","F","F","F"
71600,47.323400,"CHEQUE","M","NO",12400,33,"T","F","F","T","T","T","T","T","F","T","F"
96561,30.375900,"CARD","M","NO",17000,29,"F","F","F","F","F","F","F","F","F","F","F"
90861,38.255900,"CASH","F","YES",18600,29,"T","T","F","F","F","F","F","F","F","F","T"
68501,15.372600,"CHEQUE","F","NO",24000,31,"T","T","F","F","F","F","F","F","T","T","F"
30132,23.935700,"CASH","M","NO",15700,23,"T","F","T","T","F","T","T","F","F","T","F"
78639,32.069100,"CASH","M","NO",27900,48,"F","F","F","F","F","F","F","F","F","T","F"
46419,45.323900,"CARD","F","NO",20000,27,"F","F","F","F","F","F","F","F","F","F","T"
50633,23.063800,"CHEQUE","M","YES",19200,46,"F","F","F","F","F","F","F","F","F","F","T"
11553,15.113300,"CASH","M","NO",28300,27,"F","F","F","F","F","F","F","F","F","F","T"
65853,20.681500,"CASH","M","YES",17500,33,"T","F","T","F","F","F","F","F","F","F","F"
47547,42.815900,"CASH","F","YES",16900,46,"F","F","F","F","F","F","F","F","T","F","F"
38360,35.015700,"CASH","F","YES",14700,27,"F","F","F","T","F","F","F","F","F","F","F"
107728,16.960300,"CHEQUE","F","NO",26800,49,"F","T","F","F","F","T","T","T","F","F","F"
30390,26.627800,"CASH","M","YES",21400,25,"F","F","F","F","F","F","F","F","T","F","F"
75815,19.192700,"CARD","F","YES",19200,40,"F","F","F","F","F","T","F","T","F","F","T"
106288,10.092600,"CHEQUE","F","YES",12300,23,"F","F","F","T","F","F","F","F","F","F","T"
88596,34.108200,"CASH","F","NO",28400,38,"F","F","T","F","F","F","F","T","T","F","T"
93469,32.765600,"CHEQUE","M","NO",24800,16,"T","F","T","T","T","T","F","F","T","T","F"
34756,15.270400,"CARD","F","YES",15900,18,"F","F","F","F","F","F","F","F","F","F","F"
12584,46.632300,"CARD","F","YES",17400,29,"T","F","F","F","F","F","T","T","F","F","T"
107080,29.406400,"CARD","F","NO",25100,43,"F","F","F","T","F","F","F","F","F","F","F"
73651,14.130900,"CASH","M","YES",11700,22,"T","T","F","F","F","F","F","F","F","F","F"
54180,43.037200,"CASH","M","NO",13500,32,"F","T","F","T","F","T","T","F","F","F","F"
45102,32.551800,"CASH","M","NO",28800,16,"T","F","F","F","F","T","F","F","F","T","F"
85475,37.003700,"CARD","M","YES",24500,47,"T","F","F","F","F","F","F","T","F","F","F"
78363,49.413200,"CARD","M","YES",10600,18,"T","F","F","T","F","T","T","T","F","F","F"
23718,37.861100,"CHEQUE","M","YES",29700,37,"F","F","F","T","F","T","F","T","F","T","F"
54152,20.595000,"CARD","M","YES",24400,38,"F","F","F","F","F","T","T","T","F","F","F"
93963,49.192200,"CARD","M","YES",25100,21,"F","T","F","F","F","F","F","F","F","F","F"
35561,34.423600,"CASH","M","YES",13300,24,"F","F","F","F","F","T","F","F","F","F","T"
30371,30.887200,"CARD","F","YES",23100,24,"T","F","F","F","F","F","F","F","F","F","F"
93669,27.703200,"CHEQUE","F","NO",21600,37,"F","F","F","T","F","F","F","T","F","F","T"
70858,20.946200,"CASH","M","YES",17600,46,"T","T","F","T","F","F","F","F","F","T","T"
103147,43.862200,"CARD","M","YES",18100,28,"F","F","F","T","F","F","F","F","F","F","F"
80198,34.267000,"CARD","F","NO",28300,47,"F","F","F","F","F","F","T","T","F","F","T"
42459,32.644600,"CARD","F","YES",23800,47,"F","F","F","F","T","T","F","T","T","F","T"
36631,27.051500,"CASH","M","YES",22100,16,"F","F","F","F","F","F","F","F","F","F","F"
43800,44.283100,"CARD","F","YES",27900,36,"F","F","F","T","F","F","T","T","F","F","T"
60240,21.987100,"CASH","M","YES",23800,45,"F","F","F","F","F","F","F","F","F","F","F"
29640,28.595500,"CASH","F","NO",17800,27,"F","F","F","T","T","T","F","T","F","F","F"
109000,14.964700,"CASH","F","YES",17800,22,"F","F","F","T","T","F","F","T","T","F","F"
108739,10.973700,"CASH","M","NO",20800,29,"T","F","F","F","F","F","F","T","T","F","T"
104165,32.296300,"CARD","M","NO",25400,43,"F","F","F","F","F","F","F","T","F","F","F"
73630,10.450600,"CARD","F","NO",19800,25,"F","F","F","T","T","F","F","T","F","F","F"
25765,35.681400,"CHEQUE","F","YES",30000,25,"F","F","F","F","F","F","F","T","F","F","T"
84903,32.805300,"CARD","F","NO",29600,17,"T","F","F","F","F","T","F","F","T","T","F"
99347,34.665100,"CARD","F","YES",23100,44,"F","T","T","T","F","F","F","T","F","F","T"
41157,20.233200,"CASH","F","NO",15200,40,"T","F","T","F","T","T","F","F","T","F","F"
